city,country,temperature,feels_like,temp_min,temp_max,humidity,pressure,condition,description,wind_speed,wind_deg,clouds,visibility,rain_1h,snow_1h,timestamp,date,time
Lahore,PK,27.0,28.4,27.0,27.0,65,1003,Smoke,Smoke,2.1,90,40,4000,0,0,2026-05-13 06:24:32,2026-05-13,06:24:32
Lahore,PK,27.0,28.4,27.0,27.0,65,1003,Smoke,Smoke,2.1,90,40,4000,0,0,2026-05-13 06:26:33,2026-05-13,06:26:33
Islamabad,PK,23.2,23.6,23.2,23.2,74,1005,Clear,Clear Sky,3.2,38,3,10000,0,0,2026-05-13 06:28:26,2026-05-13,06:28:26
Lahore,PK,27.0,28.4,27.0,27.0,65,1003,Smoke,Smoke,2.1,90,40,4000,0,0,2026-05-13 06:28:53,2026-05-13,06:28:53
Islamabad,PK,23.2,23.6,23.2,23.2,74,1005,Clear,Clear Sky,3.2,38,3,10000,0,0,2026-05-13 06:28:55,2026-05-13,06:28:55
Lahore,PK,27.0,28.4,27.0,27.0,65,1003,Smoke,Smoke,2.1,90,40,4000,0,0,2026-05-13 06:35:29,2026-05-13,06:35:29
Bahawalnagar,PK,33.2,31.8,33.2,33.2,27,1002,Clear,Clear Sky,3.6,101,0,10000,0,0,2026-05-13 06:38:42,2026-05-13,06:38:42
Bahawalnagar,PK,33.2,31.8,33.2,33.2,27,1002,Clear,Clear Sky,3.6,101,0,10000,0,0,2026-05-13 06:38:55,2026-05-13,06:38:55
Lahore,PK,28.0,29.6,28.0,28.0,61,1003,Smoke,Smoke,2.6,100,20,4000,0,0,2026-05-13 07:24:55,2026-05-13,07:24:55
Lahore,PK,38.0,39.4,38.0,38.0,30,999,Haze,Haze,3.1,120,0,5000,0,0,2026-05-13 14:11:14,2026-05-13,14:11:14
Lahore,PK,38.0,39.4,38.0,38.0,30,999,Haze,Haze,2.6,100,20,5000,0,0,2026-05-13 14:15:22,2026-05-13,14:15:22
Lahore,PK,35.0,34.3,35.0,35.0,28,999,Clear,Clear Sky,1.5,280,0,6000,0,0,2026-05-16 18:33:29,2026-05-16,18:33:29
Bahawalnagar,PK,37.0,35.0,37.0,37.0,17,1000,Clear,Clear Sky,1.9,267,0,10000,0,0,2026-05-16 18:34:11,2026-05-16,18:34:11
Bahawalnagar,PK,37.0,35.0,37.0,37.0,17,1000,Clear,Clear Sky,1.9,267,0,10000,0,0,2026-05-16 18:34:22,2026-05-16,18:34:22
Lahore,PK,35.0,34.3,35.0,35.0,28,999,Clear,Clear Sky,1.5,280,0,6000,0,0,2026-05-16 18:38:05,2026-05-16,18:38:05
Bahawalnagar,PK,37.0,35.0,37.0,37.0,17,1000,Clear,Clear Sky,1.9,267,0,10000,0,0,2026-05-16 18:38:08,2026-05-16,18:38:08
Lahore,PK,35.0,34.3,35.0,35.0,28,1000,Clear,Clear Sky,1.5,280,0,6000,0,0,2026-05-16 18:39:10,2026-05-16,18:39:10
Lahore,PK,35.0,34.3,35.0,35.0,28,1000,Clear,Clear Sky,1.5,280,0,6000,0,0,2026-05-16 18:39:22,2026-05-16,18:39:22
Islamabad,PK,33.8,34.2,33.8,33.8,36,1002,Clear,Clear Sky,3.8,289,8,10000,0,0,2026-05-16 18:39:31,2026-05-16,18:39:31
Bahawalnagar,PK,37.0,35.0,37.0,37.0,17,1000,Clear,Clear Sky,1.9,267,0,10000,0,0,2026-05-16 18:39:47,2026-05-16,18:39:47
Lahore,PK,35.0,34.3,35.0,35.0,28,1000,Clear,Clear Sky,1.5,280,0,6000,0,0,2026-05-16 18:40:05,2026-05-16,18:40:05
Bahawalnagar,PK,37.0,35.0,37.0,37.0,17,1000,Clear,Clear Sky,1.9,267,0,10000,0,0,2026-05-16 18:40:13,2026-05-16,18:40:13
Lahore,PK,35.0,34.3,35.0,35.0,28,1000,Clear,Clear Sky,1.5,280,0,6000,0,0,2026-05-16 18:40:16,2026-05-16,18:40:16
